variable,mean,min,median,max,nmissing,eltype
CT,3158.4109953226043,0.0,3879.0587241297226,6736.2962770330905,0,Float64
DE,196.27161020700808,0.0,160.08732064147588,610.467505766346,0,Float64
MA,2524.6072236189225,0.0,2778.997871977635,5771.099972557771,0,Float64
MD,2172.8473273538957,0.0,1992.5025872570254,5013.1869877654435,0,Float64
ME,53.28512720655819,0.0,36.751906906595956,149.83351799026707,0,Float64
NH,121.95442755191382,0.0,134.94540030991288,410.3151973278969,0,Float64
NJ,5660.743927759572,0.0,3601.009121453634,15283.137311718032,0,Float64
NY,4535.763282891586,0.0,0.0,19486.59209824866,0,Float64
PA,2404.909608491357,0.0,1270.0929134755877,7316.819456423089,0,Float64
RI,369.1449730372808,0.0,393.72929423091955,1048.8840585942387,0,Float64
VT,34.01058310638372,0.0,25.489811858942048,79.3227820908165,0,Float64
