variable,mean,min,median,max,nmissing,eltype
CT,1837.372787523306,0.0,1719.243318438586,4541.893375399023,0,Float64
DE,0.0,0.0,0.0,0.0,0,Float64
MA,343.1615484161701,0.0,0.0,1548.2215050263803,0,Float64
MD,985.1345320275061,0.0,265.8542511382466,2427.508698318532,0,Float64
ME,0.0,0.0,0.0,0.0,0,Float64
NH,0.0,0.0,0.0,0.0,0,Float64
NJ,7886.538740126726,0.0,8821.716628321272,16803.49442298815,0,Float64
NY,12789.700748895066,0.0,8787.362499410328,35220.476259297044,0,Float64
PA,496.5030847975622,0.0,0.0,2020.0675887917296,0,Float64
RI,158.5612558695991,0.0,0.0,474.5852554012904,0,Float64
VT,0.0,0.0,0.0,0.0,0,Float64
