variable,mean,min,median,max,nmissing,eltype
CT,2549.7191342077085,0.0,2867.493318438586,5690.143375399023,0,Float64
DE,96.6953113841283,0.0,0.0,297.73877763607504,0,Float64
MA,1547.591606900837,0.0,1093.7424257980476,4084.7215050263803,0,Float64
MD,1832.1804226864692,0.0,1808.1042511382466,3969.758698318532,0,Float64
ME,0.0,0.0,0.0,0.0,0,Float64
NH,2.435153157252402,0.0,0.0,35.09834718533307,0,Float64
NJ,5759.739679501213,0.0,2462.9748821097905,15283.137311718032,0,Float64
NY,7754.933972747727,0.0,2708.5372769647456,26176.08337056716,0,Float64
PA,2154.5872402034806,0.0,905.0598315997668,5567.31758879173,0,Float64
RI,322.8644700735155,0.0,232.23454948617632,787.8352554012904,0,Float64
VT,0.0,0.0,0.0,0.0,0,Float64
