variable,mean,min,median,max,nmissing,eltype
CT,14.353125,0.0,0.0,1148.25,0,Float64
DE,26.775,0.0,0.0,2142.0,0,Float64
MA,31.70625,0.0,0.0,1520.3571112701193,0,Float64
MD,19.278125,0.0,0.0,1542.25,0,Float64
ME,6.13125,0.0,0.0,490.5,0,Float64
NH,6.04375,0.0,0.0,483.5,0,Float64
NJ,67.29593921790675,0.0,0.0,5383.6751374325395,0,Float64
NY,156.04183565705287,0.0,0.0,7715.555021229256,0,Float64
PA,44.340625,0.0,0.0,3547.25,0,Float64
RI,3.915625,0.0,0.0,313.25,0,Float64
VT,8.290625,0.0,0.0,663.25,0,Float64
