date,shortage
2020-03-04,0.0
2020-03-05,0.0
2020-03-06,0.0
2020-03-07,0.0
2020-03-08,0.0
2020-03-09,0.0
2020-03-10,0.0
2020-03-11,0.0
2020-03-12,0.0
2020-03-13,0.0
2020-03-14,0.0
2020-03-15,0.0
2020-03-16,0.0
2020-03-17,0.0
2020-03-18,0.0
2020-03-19,0.0
2020-03-20,0.0
2020-03-21,0.0
2020-03-22,0.0
2020-03-23,0.0
2020-03-24,0.0
2020-03-25,0.0
2020-03-26,0.0
2020-03-27,0.0
2020-03-28,0.0
2020-03-29,0.0
2020-03-30,0.0
2020-03-31,2584.5361456452774
2020-04-01,6379.424122978114
2020-04-02,10363.1240345136
2020-04-03,14397.26502902136
2020-04-04,18378.246482896036
2020-04-05,22232.333955082577
2020-04-06,26004.11153549745
2020-04-07,29648.818658935783
2020-04-08,32994.2466995802
2020-04-09,36051.93999197442
2020-04-10,38989.123716171365
2020-04-11,41882.08724685826
2020-04-12,44381.519451182474
2020-04-13,46487.820309161354
2020-04-14,48239.15001759583
2020-04-15,49622.26004271988
2020-04-16,50694.04602216166
2020-04-17,51466.44954155558
2020-04-18,51933.13923400916
2020-04-19,52186.48562561176
2020-04-20,52192.17803961778
2020-04-21,51990.00884988897
2020-04-22,51560.677438491286
2020-04-23,50970.49400363688
2020-04-24,50216.1266228379
2020-04-25,49336.161927400986
2020-04-26,48294.71626871851
2020-04-27,47161.93538927231
2020-04-28,45942.51829547074
2020-04-29,44601.013401750286
2020-04-30,43177.01739664229
2020-05-01,41696.05529390181
2020-05-02,40148.253149564436
2020-05-03,38564.40579939898
2020-05-04,36963.19344965149
2020-05-05,35329.53119427723
2020-05-06,33671.54804775506
2020-05-07,31988.05369039685
2020-05-08,30312.973264308977
2020-05-09,28642.564609827943
2020-05-10,26947.34426650973
2020-05-11,25288.514595633547
2020-05-12,23631.954461926183
2020-05-13,21966.745917173343
2020-05-14,20346.148649305167
2020-05-15,18750.84089842044
2020-05-16,17160.142055304088
2020-05-17,15624.386451175767
2020-05-18,14097.345581449865
2020-05-19,13351.187144990648
2020-05-20,12819.976588211746
2020-05-21,12272.93433051554
2020-05-22,11726.684332407694
