date,shortage
2020-03-30,7632.225341796871
2020-03-31,12370.066009005586
2020-04-01,17302.560788844352
2020-04-02,22316.641907941495
2020-04-03,27327.88778780569
2020-04-04,32222.420644433623
2020-04-05,37173.1756150135
2020-04-06,41918.88827001379
2020-04-07,46340.565392819495
2020-04-08,50356.10732705757
2020-04-09,53958.14513402203
2020-04-10,57099.88113317668
2020-04-11,59975.08441786865
2020-04-12,62477.542305817195
2020-04-13,64524.528424702476
2020-04-14,66198.49175354493
2020-04-15,67449.406283494
2020-04-16,68344.25584579392
2020-04-17,69079.73740483064
2020-04-18,69592.54056787158
2020-04-19,69994.23546488388
2020-04-20,70295.61188789803
2020-04-21,70354.1769599784
2020-04-22,70162.19309743687
2020-04-23,69774.61209069486
2020-04-24,69197.79309343641
2020-04-25,68465.52819008523
2020-04-26,67559.55941230402
2020-04-27,66537.78511759477
2020-04-28,65414.64815111151
2020-04-29,64155.70469438531
2020-04-30,62803.05263371496
2020-05-01,61390.16392388582
2020-05-02,59894.58537370107
2020-05-03,58355.430175652604
2020-05-04,56792.115205247275
2020-05-05,55190.631587132106
2020-05-06,53566.280621599726
2020-05-07,51912.29751421057
2020-05-08,50262.42567936022
2020-05-09,48613.5127070519
2020-05-10,46936.59094580044
2020-05-11,45293.31267698787
2020-05-12,43649.94721541638
2020-05-13,41995.05644793991
2020-05-14,40376.98452732811
2020-05-15,38783.23154038239
2020-05-16,37201.58031223385
2020-05-17,35666.61281602806
2020-05-18,34163.44487582336
2020-05-19,32801.08876223342
2020-05-20,31499.083752710183
2020-05-21,30198.813214398084
2020-05-22,28951.747109970416
2020-05-23,27715.5800375599
2020-05-24,26533.512316431596
