date,shortage
2020-03-30,0.0
2020-03-31,5.684341886080801e-13
2020-04-01,4.547473508864641e-13
2020-04-02,4138.344347416991
2020-04-03,10173.659082124012
2020-04-04,16159.239699053413
2020-04-05,22004.71175286079
2020-04-06,27651.770869901495
2020-04-07,33018.4854468
2020-04-08,38021.02830348973
2020-04-09,42634.74428073708
2020-04-10,46806.56349324619
2020-04-11,50555.07973689963
2020-04-12,53836.47023737246
2020-04-13,56653.33525800492
2020-04-14,59055.17207870262
2020-04-15,61033.132729608835
2020-04-16,62632.0204406458
2020-04-17,63867.29233066009
2020-04-18,64748.08119315451
2020-04-19,65362.77847336294
2020-04-20,65688.66962988557
2020-04-21,65777.51786008898
2020-04-22,65605.35959066339
2020-04-23,65242.83812930132
2020-04-24,64691.08663788993
2020-04-25,64040.87796499033
2020-04-26,63147.98695708218
2020-04-27,62146.3053632308
2020-04-28,61040.64364271507
2020-04-29,59806.60195165915
2020-04-30,58476.403521931636
2020-05-01,57077.586251785535
2020-05-02,55609.028209076205
2020-05-03,54079.18419951355
2020-05-04,52527.854859200794
2020-05-05,50942.58134254946
2020-05-06,49326.34012696439
2020-05-07,47679.89410897999
2020-05-08,46036.3353212291
2020-05-09,44393.485688499444
2020-05-10,42714.23999817059
2020-05-11,41075.905508403186
2020-05-12,39437.11573780823
2020-05-13,37786.56430083941
2020-05-14,36171.989609470926
2020-05-15,34588.51098880194
2020-05-16,33001.72804441718
2020-05-17,31469.07802213196
2020-05-18,29944.627660718143
2020-05-19,28437.808939912986
2020-05-20,26989.169478380325
2020-05-21,25549.293558780053
2020-05-22,24152.159410416145
2020-05-23,22774.139544204354
2020-05-24,21443.24553807904
