date,shortage
2020-03-04,0.0
2020-03-05,0.0
2020-03-06,0.0
2020-03-07,0.0
2020-03-08,0.0
2020-03-09,0.0
2020-03-10,0.0
2020-03-11,0.0
2020-03-12,0.0
2020-03-13,0.0
2020-03-14,0.0
2020-03-15,0.0
2020-03-16,0.0
2020-03-17,0.0
2020-03-18,0.0
2020-03-19,0.0
2020-03-20,0.0
2020-03-21,0.0
2020-03-22,0.0
2020-03-23,0.0
2020-03-24,0.0
2020-03-25,0.0
2020-03-26,0.0
2020-03-27,0.0
2020-03-28,0.0
2020-03-29,0.0
2020-03-30,3.637978807091713e-12
2020-03-31,2584.5361456452774
2020-04-01,6258.232165445607
2020-04-02,10022.444188062984
2020-04-03,13813.805636339275
2020-04-04,17533.008791705848
2020-04-05,21102.945108185762
2020-04-06,24455.073590406595
2020-04-07,27527.55140885635
2020-04-08,31187.76165220751
2020-04-09,34839.358102684346
2020-04-10,38119.908155917416
2020-04-11,41050.40893114876
2020-04-12,43582.51761260089
2020-04-13,45718.90395960344
2020-04-14,47496.54794111951
2020-04-15,48916.353604408105
2020-04-16,50014.254949575785
2020-04-17,50799.40350169804
2020-04-18,51277.75937890487
2020-04-19,51541.84943676065
2020-04-20,51549.63633934585
2020-04-21,51348.5781460485
2020-04-22,50927.383155661744
2020-04-23,50344.3144844235
2020-04-24,49597.145570456196
2020-04-25,48715.51524684965
2020-04-26,47679.94797149896
2020-04-27,46552.857208861016
2020-04-28,45337.55614366181
2020-04-29,44007.95421066388
2020-04-30,42594.68241958935
2020-05-01,41123.5459345989
2020-05-02,39592.26235056611
2020-05-03,38010.08686727116
2020-05-04,36408.80403453718
2020-05-05,34783.46402205452
2020-05-06,33132.84100998679
2020-05-07,31456.94555987602
2020-05-08,29788.20715796265
2020-05-09,28123.86715319863
2020-05-10,26426.31161837568
2020-05-11,24772.403347850337
2020-05-12,23120.389557395258
2020-05-13,21458.627532183815
2020-05-14,19834.565163478615
2020-05-15,18243.069167286798
2020-05-16,16649.521649630544
2020-05-17,15111.173136011148
2020-05-18,13581.930891899377
2020-05-19,12833.880393425798
2020-05-20,12300.900923258354
2020-05-21,11752.444801768628
2020-05-22,11204.826889940985
