date,shortage
2020-03-30,2.2737367544323206e-12
2020-03-31,0.0
2020-04-01,4453.741550563098
2020-04-02,9467.822441795663
2020-04-03,14479.06854952444
2020-04-04,19373.60140615237
2020-04-05,24064.255969878875
2020-04-06,28475.8050187164
2020-04-07,33018.4854468
2020-04-08,38029.18770537703
2020-04-09,42655.14154934124
2020-04-10,46832.76189314601
2020-04-11,50586.437291632115
2020-04-12,53870.52496746204
2020-04-13,56690.90507853446
2020-04-14,59088.23448575895
2020-04-15,61067.37710656878
2020-04-16,62668.374812502654
2020-04-17,63904.530871035866
2020-04-18,64785.92009556493
2020-04-19,65409.08468524654
2020-04-20,65735.85629729247
2020-04-21,65817.3814558435
2020-04-22,65645.85271105864
2020-04-23,65282.79826174477
2020-04-24,64729.02958112281
2020-04-25,64016.99430239568
2020-04-26,63129.79876300104
2020-04-27,62132.217667884244
2020-04-28,61031.62917799826
2020-04-29,59799.88385097055
2020-04-30,58471.33323723576
2020-05-01,57073.90704902957
2020-05-02,55606.22412889248
2020-05-03,54071.286630196846
2020-05-04,52526.27331518149
2020-05-05,50941.41602115401
2020-05-06,49325.495722430955
2020-05-07,47679.295084174824
2020-05-08,46035.922072726964
2020-05-09,44393.21144219721
2020-05-10,42714.06828577536
2020-05-11,41075.808112347644
2020-05-12,39437.07101752819
2020-05-13,37786.555831422214
2020-05-14,36172.00507704631
2020-05-15,34588.54129725336
2020-05-16,33001.76659599914
2020-05-17,31469.12014100082
2020-05-18,29944.670133619653
2020-05-19,28437.849652594618
2020-05-20,26989.207129898798
2020-05-21,25549.327438893226
2020-05-22,24152.189227786588
2020-05-23,22774.16529527869
2020-05-24,21443.26740830515
